number;amount;payment_date;issue_date;issuer_name;issuer_vat;note
AP-TERC-001;923086.97;2026-06-26;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-002;1500609.00;2026-07-18;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-003;1370000.00;2026-07-20;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-004;1230000.00;2026-07-21;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-005;3200000.00;2026-07-26;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-006;9668750.00;2027-01-15;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-007;9668750.00;2027-02-15;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
AP-TERC-008;9668750.00;2027-03-15;;Apertura cheques terceros;;Apertura cheques de terceros en cartera - Capital integrado
